id;archive_code;reference_code;document_type;document_creation_year;document_expiration_year;snapshot_date;ine_code;ranking;municipality;handwritten;position;deputy_mayor;electoral_third;name_original;name_standardized;birth_date;age_original;appointment_date;assumption_date;cessation_date;occupation;original_notes;cleaning_notes
22021;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;1;Agullana;No;Alcalde;0;;Facundo Genis Genis;Facundo Genis Genis;16/08/1909;;;19/05/1961;;;;
22022;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;2;Agullana;No;Concejal;1;;Martín Pagés Picola;Martin Pages Picola;31/08/1907;;;07/02/1971;;;;
22023;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;3;Agullana;No;Concejal;0;;Ambrosio Genis Gibrat;Ambrosio Genis Gibrat;04/06/1911;;;07/02/1971;;;;
22024;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;4;Agullana;No;Concejal;0;;José Ripoll Canals;Jose Ripoll Canals;19/12/1932;;;07/02/1971;;;;
22025;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;5;Agullana;No;Concejal;0;;José Batlle Comas;Jose Batlle Comas;15/01/1918;;;05/02/1967;;;;
22026;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;6;Agullana;No;Concejal;0;;Joaquín Bude Pous;Joaquin Bude Pous;30/03/1924;;;05/02/1967;;;;
22027;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17001;7;Agullana;No;Concejal;0;;Martin Pages Brugat;Martin Pages Brugat;18/03/1920;;;05/02/1967;;;;
22030;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;1;Aiguaviva;No;Alcalde;0;;Ramón Corretger Riera;Ramon Corretger Riera;21/10/1933;;;07/10/1966;;;;
22031;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;2;Aiguaviva;No;Concejal;1;;Francisco Garrofa Aymerich;Francisco Garrofa Aymerich;21/02/1941;;;05/02/1967;;;;
22032;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;3;Aiguaviva;No;Concejal;0;;José Bohigas Vidal;Jose Bohigas Vidal;17/06/1919;;;05/02/1967;;;;
22033;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;4;Aiguaviva;No;Concejal;0;;José Serra Muntadas;Jose Serra Muntadas;27/02/1922;;;05/02/1967;;;;
22034;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;5;Aiguaviva;No;Concejal;0;;Juan Rabasseda Carreras;Juan Rabasseda Carreras;19/07/1925;;;07/02/1971;;;;
22035;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;6;Aiguaviva;No;Concejal;0;;Juan Figueras Pascasi;Juan Figueras Pascasi;09/03/1925;;;07/02/1971;;;;
22036;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17002;7;Aiguaviva;No;Concejal;0;;José Romagos Cubarsi;Jose Romagos Cubarsi;22/09/1928;;;07/02/1971;;;;
22040;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17003;1;Albanyà;No;Alcalde;0;;José Ambrosio Pujolar;Jose Ambrosio Pujolar;05/09/1918;;;31/05/1960;;;;
22041;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17003;2;Albanyà;No;Concejal;1;;Luis Cantero Maties;Luis Cantero Maties;18/05/1928;;;05/02/1967;;;;
22042;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17003;3;Albanyà;No;Concejal;0;;Juan Juanola Juanola;Juan Juanola Juanola;05/07/1933;;;05/02/1967;;;;
22043;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17003;4;Albanyà;No;Concejal;0;;Jaime Tarsy Vila;Jaime Tarsy Vila;05/06/1916;;;07/02/1971;;;;
22046;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;1;Albons;No;Alcalde;0;;Roberto Coll Gatius;Roberto Coll Gatius;06/01/1942;;;12/05/1972;;;;
22047;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;2;Albons;No;Concejal;1;;Juan Coll Puig;Juan Coll Puig;26/12/1920;;;05/02/1967;;;;
22048;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;3;Albons;No;Concejal;0;;Esteban Fábrega Bonet;Esteban Fabrega Bonet;26/03/1940;;;05/02/1967;;;;
22049;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;4;Albons;No;Concejal;0;;Angel Casadesus No guera;Angel Casadesus No Guera;29/05/1943;;;05/02/1967;;;;
22050;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;5;Albons;No;Concejal;0;;Amadeo Baye Figue ras;Amadeo Baye Figue Ras;21/11/1944;;;07/02/1971;;;;
22051;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;6;Albons;No;Concejal;0;;Joaquin Hostenxh Doñabeitis;Joaquin Hostenxh Doñabeitis;16/09/1940;;;07/02/1971;;;;
22052;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17004;7;Albons;No;Concejal;0;;Benito Turias Carleg;Benito Turias Carleg;12/05/1907;;;07/02/1971;;;;
22055;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;1;Alp;No;Alcalde;0;;Salvador Pous Rebés;Salvador Pous Rebes;25/05/1930;;;08/06/1964;;;;
22056;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;2;Alp;No;Concejal;1;;Antonio Tubau Casals;Antonio Tubau Casals;02/12/1920;;;07/02/1971;;;;
22057;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;3;Alp;Sí;Concejal;0;;Pedro Arderiu Ros;Pedro Arderiu Ros;01/04/1911;;;05/02/1967;;;;
22058;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;4;Alp;No;Concejal;0;;Leonor Gras Pujol;Leonor Gras Pujol;12/11/1932;;;05/08/1967;;;;
22059;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;5;Alp;No;Concejal;0;;Salvador Rigola Costa;Salvador Rigola Costa;03/06/1922;;;07/02/1971;;;;
22060;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17006;6;Alp;No;Concejal;0;;Ignacio Soler Sala;Ignacio Soler Sala;16/05/1931;;;07/02/1971;;;;
22064;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;1;Amer;No;Alcalde;0;;NARCISO JUNQUERA RIGAU;Narciso Junquera Rigau;23/07/1908;;;26/11/1939;;;;
22065;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;2;Amer;No;Concejal;1;;JOSÉ BARGAY BADIA;Jose Bargay Badia;15/04/1925;;;05/02/1967;;;;
22066;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;3;Amer;No;Concejal;2;;LUIS SANCHEZ PAULI;Luis Sanchez Pauli;31/05/1904;;;05/02/1967;;;;
22067;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;4;Amer;No;Concejal;0;;CARLOS REUS TARREGA;Carlos Reus Tarrega;04/11/1921;;;07/02/1971;;;;
22068;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;5;Amer;No;Concejal;0;;ANTONIO DOMENECH BUXO;Antonio Domenech Buxo;06/12/1916;;;07/02/1971;;;;
22069;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;6;Amer;No;Concejal;0;;AGUSTIN CLERMONT CASAÑAS;Agustin Clermont Casañas;26/06/1924;;;07/02/1971;;;;
22070;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;7;Amer;No;Concejal;0;;SALVADOR CICRES DOMENECH;Salvador Cicres Domenech;09/03/1942;;;07/02/1971;;;;
22071;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;8;Amer;No;Concejal;0;;RAMON DOMENECH RICH;Ramon Domenech Rich;01/01/1915;;;05/02/1967;;;;
22072;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;9;Amer;No;Concejal;0;;JOSÉ CROSAS GRAOULOS;Jose Crosas Graoulos;23/11/1917;;;05/02/1967;;;;
22073;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17007;10;Amer;No;Concejal;0;;JOSÉ RADIONET VINETS;Jose Radionet Vinets;18/09/1919;;;07/02/1971;;;;
22081;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;1;Anglès;No;Alcalde;0;;Jaime Esteba Sala;Jaime Esteba Sala;14/06/1918;;;09/12/1971;;;;
22082;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;2;Anglès;Sí;Concejal;1;;Jaime Soler Morera;Jaime Soler Morera;06/02/1933;;;07/02/1971;;;;
22083;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;3;Anglès;No;Concejal;2;;Luis Feliu Trias;Luis Feliu Trias;30/10/1919;;;09/02/1967;;;;
22084;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;4;Anglès;No;Concejal;3;;Mateo Costa Oliveras;Mateo Costa Oliveras;02/06/1928;;;07/02/1971;;;;
22085;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;5;Anglès;Sí;Concejal;0;;José Badia Pages;Jose Badia Pages;06/06/1915;;;09/02/1967;;;;
22086;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;6;Anglès;Sí;Concejal;0;;José Pujolras Caritj;Jose Pujolras Caritj;23/09/1919;;;09/02/1967;;;;
22087;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;7;Anglès;Sí;Concejal;0;;José me Font Pelach;Jose Me Font Pelach;18/11/1918;;;09/02/1967;;;;
22088;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;8;Anglès;No;Concejal;0;;Roberto Rigau Roca;Roberto Rigau Roca;03/03/1924;;;09/02/1967;;;;
22089;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17008;9;Anglès;No;Concejal;0;;Juan Julia Panosa;Juan Julia Panosa;06/11/1927;;;07/02/1971;;;;
22093;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;1;Arbúcies;No;Alcalde;0;;Emilio Garolera Bohils;Emilio Garolera Bohils;21/03/1923;;;20/12/1969;;;;
22094;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;2;Arbúcies;No;Concejal;0;;Emilio Garolera Bohils;Emilio Garolera Bohils;21/03/1923;;;05/02/1967;;;;
22095;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;3;Arbúcies;No;Concejal;1;;Juan Casadesus Canudas;Juan Casadesus Canudas;01/07/1898;;;05/02/1967;;;;
22096;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;4;Arbúcies;No;Concejal;0;;Juan Mataró Plana;Juan Mataro Plana;13/02/1916;;;05/02/1967;;;;
22097;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;5;Arbúcies;No;Concejal;0;;Luis Bosch Calvet;Luis Bosch Calvet;01/11/1925;;;05/02/1967;;;;
22098;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;6;Arbúcies;No;Concejal;1;;Rafael Valdiviejas Mora;Rafael Valdiviejas Mora;20/10/1927;;;07/02/1971;;;;
22099;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;7;Arbúcies;No;Concejal;0;;Francº Gubern Folgarolas;Francisco Gubern Folgarolas;09/02/1935;;;07/02/1971;;;;
22100;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;8;Arbúcies;No;Concejal;0;;Emilia Talleda Pages;Emilia Talleda Pages;11/12/1931;;;07/02/1971;;;;
22101;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;9;Arbúcies;No;Concejal;0;;Antonio Bernatallada Serrat;Antonio Bernatallada Serrat;12/06/1929;;;07/02/1971;;;;
22102;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17009;10;Arbúcies;No;Concejal;0;;Francisco Parcet Utzet;Francisco Parcet Utzet;07/07/1934;;;07/02/1971;;;;
22108;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;1;Argelaguer;No;Alcalde;0;;JOSE JUANOLA SERRAT;Jose Juanola Serrat;27/08/1936;;;12/08/1968;;;;
22109;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;2;Argelaguer;No;Concejal;1;;JOAQUIN DERRES AYATS;Joaquin Derres Ayats;16/08/1927;;;05/02/1967;;;;
22110;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;3;Argelaguer;No;Concejal;0;;JUAN COMAMALA MOLINS;Juan Comamala Molins;29/06/1927;;;05/02/1967;;;;
22111;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;4;Argelaguer;No;Concejal;0;;JOAQUIN VILANOVA VILA NOVA;Joaquin Vilanova Vila Nova;28/10/1933;;;05/02/1967;;;;
22112;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;5;Argelaguer;No;Concejal;0;;MARCELINO VILAR BALATEU;Marcelino Vilar Balateu;11/05/1931;;;07/02/1971;;;;
22113;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;6;Argelaguer;No;Concejal;0;;ESTEBAN PUJIULA VILA;Esteban Pujiula Vila;15/06/1935;;;07/02/1971;;;;
22114;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17010;7;Argelaguer;No;Concejal;0;;NARCISO PUJOLAR ROCA;Narciso Pujolar Roca;21/05/1937;;;07/02/1971;;;;
22117;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;1;Armentera, L';No;Alcalde;0;;José María Compte Colomer;Jose Maria Compte Colomer;23/08/1931;;;23/03/1972;;;;
22118;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;2;Armentera, L';No;Concejal;1;;José Ferrer Moret;Jose Ferrer Moret;26/08/1923;;;05/02/1967;;;;
22119;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;3;Armentera, L';No;Concejal;0;;Alfonso María Grau Llavanera;Alfonso Maria Grau Llavanera;29/01/1927;;;07/02/1971;;;;
22120;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;4;Armentera, L';No;Concejal;0;;Jaime Planas Badruna;Jaime Planas Badruna;21/10/1932;;;05/02/1967;;;;
22121;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;5;Armentera, L';No;Concejal;0;;Salvador Durán Esteve;Salvador Duran Esteve;16/08/1927;;;07/02/1971;;;;
22122;ES.17079.AD;ADG_JPCE_285;Certificado_JPCE;1972;;;17011;6;Armentera, L';No;Concejal;0;;Rafael Muñoz Planas;Rafael Muñoz Planas;28/02/1938;;;05/02/1967;;;;
