ID;Archivo_Original;Año;COD_INE;ID_Archivo;Ayuntamiento;Cargo;Teniente;Nombre;Nacimiento;Nombramiento;Edad;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42
22021;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;1;Agullana;Alcalde;0;Facundo Genis Genis;16/08/1909;1961-05-19 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22022;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;2;Agullana;Concejal;1;Martín Pagés Picola;31/08/1907;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22023;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;3;Agullana;Concejal;0;Ambrosio Genis Gibrat;04/06/1911;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22024;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;4;Agullana;Concejal;0;José Ripoll Canals;19/12/1932;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22025;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;5;Agullana;Concejal;0;José Batlle Comas;15/01/1918;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22026;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;6;Agullana;Concejal;0;Joaquín Bude Pous;30/03/1924;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22027;1972_Certificados_2025-10-08 13.55_002.jpg;1972;17001;7;Agullana;Concejal;0;Martin Pages Brugat;18/03/1920;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22030;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;1;Aiguaviva;Alcalde;0;Ramón Corretger Riera;21/10/1933;1966-10-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22031;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;2;Aiguaviva;Concejal;1;Francisco Garrofa Aymerich;21/02/1941;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22032;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;3;Aiguaviva;Concejal;0;José Bohigas Vidal;17/06/1919;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22033;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;4;Aiguaviva;Concejal;0;José Serra Muntadas;27/02/1922;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22034;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;5;Aiguaviva;Concejal;0;Juan Rabasseda Carreras;19/07/1925;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22035;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;6;Aiguaviva;Concejal;0;Juan Figueras Pascasi;09/03/1925;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22036;1972_Certificados_2025-10-08 13.55_003.jpg;1972;17002;7;Aiguaviva;Concejal;0;José Romagos Cubarsi;22/09/1928;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22040;1972_Certificados_2025-10-08 13.55_004.jpg;1972;17003;1;Albanyà;Alcalde;0;José Ambrosio Pujolar;05/09/1918;1960-05-31 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22041;1972_Certificados_2025-10-08 13.55_004.jpg;1972;17003;2;Albanyà;Concejal;1;Luis Cantero Maties;18/05/1928;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22042;1972_Certificados_2025-10-08 13.55_004.jpg;1972;17003;3;Albanyà;Concejal;0;Juan Juanola Juanola;05/07/1933;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22043;1972_Certificados_2025-10-08 13.55_004.jpg;1972;17003;4;Albanyà;Concejal;0;Jaime Tarsy Vila;05/06/1916;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22046;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;1;Albons;Alcalde;0;Roberto Coll Gatius;06/01/1942;1972-05-12 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22047;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;2;Albons;Concejal;1;Juan Coll Puig;26/12/1920;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22048;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;3;Albons;Concejal;0;Esteban Fábrega Bonet;26/03/1940;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22049;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;4;Albons;Concejal;0;Angel Casadesus No guera;29/05/1943;1967-02-05 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22050;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;5;Albons;Concejal;0;Amadeo Baye Figue ras;21/11/1944;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22051;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;6;Albons;Concejal;0;Joaquin Hostenxh Doñabeitis;16/09/1940;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22052;1972_Certificados_2025-10-08 13.55_005.jpg;1972;17004;7;Albons;Concejal;0;Benito Turias Carleg;12/05/1907;1971-02-07 00:00:00;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
