id;codigo_archivo;signatura;año_documento;fecha_instantanea;ruta_original;cod_ine;ranking;municipio;censo_hogares;censo_derecho;censo_hecho;cargo;teniente;nombre_original;nombre_corregido;nacimiento;edad_original;nombramiento
18392;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_070.jpg;17066;3;Figueres;4859;16648;17548;Concejal;2;Pedro Batlle Roca;PEDRO BATLLE ROCA;03/03/1924;;05/02/1967
19098;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_151.jpg;17146;2;Riells i Viabrea;106;456;453;Concejal;1;Juan Mompió Adrogher;JUAN MOMPIO ADROGHER;06/03/1924;;05/02/1967
19193;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_161.jpg;17156;6;San Andrés del Terri;99;503;479;Concejal;0;Josè Poch serra;JOSÈ POCH SERRA;06/03/1924;;05/02/1967
18642;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_099.jpg;17090;2;Llambilles;95;381;383;Concejal;1;José Rabell Serra;JOSE RABELL SERRA;08/03/1924;;02/02/1964
19529;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_197.jpg;17191;1;Serra de Daró;65;285;275;Alcalde;0;JOAQUIN POU DOMINGO;JOAQUIN POU DOMINGO;09/03/1924;;27/01/1964
18127;ES.17079.AD;ADG_JPCE_283;1967;30/08/1967;Projecte Mayors\Repositori\Certificats\17_Girona\1967\Diputacio? Caixa 283 (1967)_039.jpg;17036;6;Campdevànol;872;3343;3377;Concejal;0;Luis Coll Tomas;LUIS COLL TOMAS;12/03/1924;;05/02/1967
6420;ES.17079.AD;ADG_JPCE_279;1952;15/02/1952;Projecte Mayors\Repositori\Certificats\17_Girona\1952_Certificados_2025-10-08 11.30\1952_Certificados_2025-10-08 11.30_243.jpg;17222;3;Vilaür;61;183;184;Concejal;0;José Armengol Pou;JOSE ARMENGOL POU;12/03/1912;;06/02/1949
6134;ES.17079.AD;ADG_JPCE_279;1952;15/02/1952;Projecte Mayors\Repositori\Certificats\17_Girona\1952_Certificados_2025-10-08 11.30\1952_Certificados_2025-10-08 11.30_209.jpg;17190;3;Serinyà;255;900;880;Alcalde;0;Domingo Juanola Codony;DOMINGO JUANOLA CODONY;13/03/1912;;06/02/1949
6230;ES.17079.AD;ADG_JPCE_279;1952;15/02/1952;Projecte Mayors\Repositori\Certificats\17_Girona\1952_Certificados_2025-10-08 11.30\1952_Certificados_2025-10-08 11.30_221.jpg;17201;4;Toses;154;524;523;Concejal;0;Pedro Juncá Juneá;PEDRO JUNCA JUNEA;15/03/1912;;06/02/1949
6376;ES.17079.AD;ADG_JPCE_279;1952;15/02/1952;Projecte Mayors\Repositori\Certificats\17_Girona\1952_Certificados_2025-10-08 11.30\1952_Certificados_2025-10-08 11.30_237.jpg;17216;3;Viladasens;111;417;416;Concejal;0;Fram. Armengol Xargay;FRANCISCO ARMENGOL XARGAY;18/03/1912;;06/02/1949





